,tech,tech,tech,tech,finance,finance,finance,finance,pharma,pharma,pharma,pharma,food,food,food,food,education,education,education,education,energy,energy,energy,energy
,MSFT,GOOGL,META,NVDA,JPM,BAC,MA,V,JNJ,PFE,MRK,AZN,YUM,MCD,SBUX,DPZ,UDMY,DUOL,COUR,CHGG,XOM,CVX,SHEL,NEE
Date,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,37.15999984741211,27.85585594177246,54.709999084472656,0.39649999141693115,58.209999084472656,16.100000381469727,83.41400146484375,55.252498626708984,91.02999877929688,28.899431228637695,47.22328186035156,29.28499984741211,53.98274612426758,96.41000366210938,38.584999084472656,68.94000244140625,,,,8.3100004196167,99.75,124.13999938964844,70.6500015258789,21.0625
2014-01-03,36.90999984741211,27.652652740478516,54.560001373291016,0.3917500078678131,58.65999984741211,16.40999984741211,83.08100128173828,55.290000915527344,91.8499984741211,28.956356048583984,47.45228958129883,29.43000030517578,54.32063293457031,96.54000091552734,38.474998474121094,68.9800033569336,,,,8.210000038146973,99.51000213623047,124.3499984741211,70.77999877929688,21.09000015258789
2014-01-06,36.130001068115234,27.960960388183594,57.20000076293945,0.3970000147819519,59.0,16.65999984741211,82.66899871826172,54.95750045776367,92.33000183105469,28.984819412231445,47.461830139160156,29.44499969482422,54.277496337890625,95.8499984741211,38.084999084472656,69.0999984741211,,,,8.260000228881836,99.66000366210938,124.0199966430664,70.30999755859375,21.100000381469727
2014-01-07,36.40999984741211,28.5,57.91999816894531,0.4034999907016754,58.31999969482422,16.5,83.70899963378906,55.377498626708984,94.29000091552734,29.165084838867188,47.814884185791016,29.2549991607666,55.0395393371582,96.37999725341797,38.60499954223633,69.66999816894531,,,,8.220000267028809,101.06999969482422,125.06999969482422,70.91999816894531,21.2549991607666
2014-01-08,35.7599983215332,28.559309005737305,58.22999954223633,0.4090000092983246,58.869998931884766,16.579999923706055,83.68399810791016,55.55500030517578,94.16000366210938,29.36432647705078,47.50954055786133,29.260000228881836,55.017974853515625,95.41000366210938,39.01499938964844,69.77999877929688,,,,7.78000020980835,100.73999786376953,123.29000091552734,70.41000366210938,21.322500228881836
2014-01-09,35.529998779296875,28.284284591674805,57.220001220703125,0.39375001192092896,58.7599983215332,16.829999923706055,84.36000061035156,55.477500915527344,94.7300033569336,29.34535026550293,47.25190734863281,29.684999465942383,53.9539909362793,95.45999908447266,38.79999923706055,70.27999877929688,,,,7.800000190734863,99.76000213623047,123.29000091552734,70.6500015258789,21.5049991607666
2014-01-10,36.040000915527344,28.28278350830078,57.939998626708984,0.3932499885559082,58.4900016784668,16.770000457763672,83.47599792480469,55.282501220703125,94.73999786376953,29.117647171020508,47.595420837402344,30.239999771118164,53.93242263793945,95.80000305175781,38.834999084472656,71.20999908447266,,,,7.610000133514404,100.5199966430664,121.01000213623047,72.0,21.8125
2014-01-13,34.97999954223633,28.102603912353516,55.90999984741211,0.3840000033378601,57.70000076293945,16.43000030517578,81.0,54.724998474121094,94.5,28.975332260131836,50.6870231628418,29.809999465942383,52.77498245239258,94.83000183105469,37.560001373291016,70.94999694824219,,,,7.179999828338623,98.55000305175781,119.25,71.05000305175781,21.670000076293945
2014-01-14,35.779998779296875,28.763763427734375,57.7400016784668,0.3959999978542328,57.7400016784668,16.770000457763672,82.1709976196289,55.662498474121094,94.72000122070312,29.41176414489746,50.57251739501953,31.084999084472656,52.64558029174805,95.22000122070312,37.72999954223633,71.0,,,,7.210000038146973,99.12000274658203,119.56999969482422,71.48999786376953,21.68000030517578
2014-01-15,36.7599983215332,28.744243621826172,57.599998474121094,0.40024998784065247,59.4900016784668,17.149999618530273,82.33699798583984,55.939998626708984,94.80000305175781,29.582542419433594,50.114505767822266,31.475000381469727,52.60244369506836,95.45999908447266,38.095001220703125,71.20999908447266,,,,7.179999828338623,98.77999877929688,119.18000030517578,71.37000274658203,21.700000762939453
2014-01-16,36.88999938964844,28.93443489074707,57.189998626708984,0.40149998664855957,58.9900016784668,17.079999923706055,82.55000305175781,55.442501068115234,94.63999938964844,29.573055267333984,50.095420837402344,31.795000076293945,51.976993560791016,96.05999755859375,37.64500045776367,71.08000183105469,,,,7.230000019073486,98.94000244140625,118.83000183105469,71.73999786376953,21.887500762939453
2014-01-17,36.380001068115234,28.792041778564453,56.29999923706055,0.3997499942779541,58.11000061035156,17.010000228881836,81.84200286865234,58.04499816894531,95.05999755859375,29.497154235839844,49.57061004638672,31.864999771118164,51.833213806152344,94.93000030517578,37.45000076293945,71.6500015258789,,,,7.25,99.16000366210938,119.29000091552734,70.56999969482422,21.915000915527344
2014-01-21,36.16999816894531,29.12162208557129,58.5099983215332,0.4012500047683716,58.16999816894531,17.010000228881836,81.8479995727539,57.98249816894531,94.02999877929688,29.629980087280273,49.45610809326172,32.5,51.15025329589844,95.08000183105469,36.82500076293945,72.01000213623047,,,,7.25,98.5,120.36000061035156,71.27999877929688,22.262500762939453
2014-01-22,35.93000030517578,29.15465545654297,57.5099983215332,0.4007500112056732,57.59000015258789,17.149999618530273,83.30000305175781,58.247501373291016,94.31999969482422,29.667932510375977,48.99809265136719,32.69499969482422,51.286842346191406,94.87999725341797,36.79999923706055,73.38999938964844,,,,7.25,97.87999725341797,120.43000030517578,72.08999633789062,22.21500015258789
2014-01-23,36.060001373291016,29.031532287597656,56.630001068115234,0.39925000071525574,56.470001220703125,16.860000610351562,82.36000061035156,57.0625,92.73999786376953,29.42125129699707,49.23664093017578,32.90999984741211,50.179725646972656,95.31999969482422,36.69499969482422,72.8499984741211,,,,7.230000019073486,96.97000122070312,118.38999938964844,72.37000274658203,22.200000762939453
2014-01-24,36.810001373291016,28.12387466430664,54.45000076293945,0.3889999985694885,55.09000015258789,16.450000762939453,78.51000213623047,55.3125,90.61000061035156,28.54838752746582,49.59923553466797,32.10499954223633,49.475196838378906,94.43000030517578,37.4900016784668,71.18000030517578,,,,7.210000038146973,94.8499984741211,116.29000091552734,71.05000305175781,21.764999389648438
2014-01-27,36.029998779296875,27.558307647705078,53.54999923706055,0.3865000009536743,55.09000015258789,16.309999465942383,76.05000305175781,54.05500030517578,89.94000244140625,28.140417098999023,50.124046325683594,31.84000015258789,48.770668029785156,94.06999969482422,37.10499954223633,70.11000061035156,,,,6.900000095367432,94.91999816894531,116.43000030517578,70.62999725341797,21.72249984741211
